time,open,high,low,close,volume
2025.12.18 23:00,85531.600000,85578.520000,85260.390000,85442.470000,2746
2025.12.18 22:00,85581.790000,85716.400000,85224.960000,85531.410000,3211
2025.12.18 21:00,84523.570000,85798.090000,84507.140000,85578.000000,6225
2025.12.18 20:00,84430.650000,85228.130000,84393.640000,84529.770000,9423
2025.12.18 19:00,85928.360000,85979.320000,84426.770000,84428.580000,12354
2025.12.18 18:00,86431.770000,86837.860000,85654.710000,85931.350000,7771
2025.12.18 17:00,87951.010000,87981.130000,85409.360000,86430.800000,17911
2025.12.18 16:00,88456.780000,88482.520000,87765.140000,87945.530000,7202
2025.12.18 15:00,88302.220000,89309.430000,87918.420000,88456.970000,11204
2025.12.18 14:00,88793.190000,89437.510000,87675.020000,88310.850000,17032
2025.12.18 13:00,87215.050000,89172.020000,87210.740000,88795.890000,12856
2025.12.18 12:00,87253.940000,87405.660000,87065.910000,87214.940000,2609
2025.12.18 11:00,87306.650000,87319.250000,87012.430000,87235.270000,2176
2025.12.18 10:00,87229.660000,87415.470000,87159.170000,87308.770000,2266
2025.12.18 09:00,86929.170000,87360.350000,86750.800000,87231.240000,2981
2025.12.18 08:00,86781.820000,87095.140000,86636.850000,86930.750000,3039
2025.12.18 07:00,86600.410000,86831.680000,86547.930000,86783.010000,2164
2025.12.18 06:00,86399.150000,86625.410000,86363.710000,86609.140000,1988
2025.12.18 05:00,86718.400000,86731.290000,86329.740000,86401.640000,2264
2025.12.18 04:00,86577.880000,86859.220000,86550.320000,86726.630000,2108
2025.12.18 03:00,86641.950000,86657.070000,86218.270000,86574.250000,2864
2025.12.18 02:00,86090.670000,86847.200000,85974.770000,86646.480000,4577
2025.12.18 01:00,86182.630000,86205.550000,85816.400000,86088.420000,3467
2025.12.18 00:00,86199.620000,86284.230000,86007.870000,86182.500000,2323
2025.12.17 23:00,86313.540000,86313.540000,85904.550000,86199.490000,2196
2025.12.17 22:00,85947.060000,86409.850000,85851.470000,86313.710000,2523
2025.12.17 21:00,85853.910000,86020.240000,85660.210000,85943.380000,2804
2025.12.17 20:00,85982.570000,86210.610000,85621.960000,85855.840000,5629
2025.12.17 19:00,85788.170000,86147.230000,85265.350000,85982.680000,8273
2025.12.17 18:00,86385.520000,86815.260000,85603.220000,85787.090000,7720
2025.12.17 17:00,86940.860000,87088.680000,86220.080000,86387.200000,7905
2025.12.17 16:00,87203.780000,87738.380000,86127.990000,86943.510000,17762
2025.12.17 15:00,89632.090000,90358.510000,87102.530000,87214.890000,23781
2025.12.17 14:00,87600.050000,89663.350000,87131.940000,89636.960000,14185
2025.12.17 13:00,86985.690000,87829.290000,86770.330000,87596.950000,5288
2025.12.17 12:00,86958.090000,87189.560000,86783.650000,86990.680000,3111
2025.12.17 11:00,86587.980000,87106.610000,86520.580000,86956.020000,2467
2025.12.17 10:00,86388.420000,86813.650000,86195.140000,86588.730000,3177
2025.12.17 09:00,86369.480000,86570.350000,86216.520000,86391.140000,2540
2025.12.17 08:00,87016.340000,87021.430000,86281.810000,86369.600000,2953
2025.12.17 07:00,86747.400000,87143.470000,86556.180000,87015.400000,3118
2025.12.17 06:00,86604.160000,86980.600000,86556.760000,86747.290000,2895
2025.12.17 05:00,86734.000000,86742.660000,86180.920000,86604.360000,4143
2025.12.17 04:00,87191.700000,87367.800000,86682.050000,86728.360000,2733
2025.12.17 03:00,87461.290000,87592.730000,87116.560000,87190.110000,1998
2025.12.17 02:00,87533.080000,87574.590000,87163.980000,87459.760000,2904
2025.12.17 01:00,87507.850000,87935.410000,87449.810000,87530.250000,2674
2025.12.17 00:00,87838.750000,87838.750000,87383.380000,87509.600000,2627
2025.12.16 23:00,87787.800000,87854.600000,87574.990000,87842.140000,2124
2025.12.16 22:00,87739.830000,87924.890000,87613.220000,87778.470000,1830
2025.12.16 21:00,87548.500000,87893.430000,87475.870000,87740.310000,2048
2025.12.16 20:00,87555.480000,87824.790000,87313.070000,87550.440000,3898
2025.12.16 19:00,87770.020000,87777.830000,87262.190000,87555.660000,4126
2025.12.16 18:00,87112.800000,88002.450000,87034.130000,87766.420000,4798
2025.12.16 17:00,87557.790000,87829.460000,87066.070000,87106.280000,5115
2025.12.16 16:00,87950.660000,88035.180000,87360.760000,87561.490000,8263
2025.12.16 15:00,87265.670000,88145.470000,86819.640000,87953.770000,11870
2025.12.16 14:00,86422.940000,87750.240000,86066.640000,87276.620000,14168
2025.12.16 13:00,87184.520000,87790.540000,86392.430000,86425.910000,9898
2025.12.16 12:00,87235.500000,87475.160000,87042.760000,87186.560000,3145
2025.12.16 11:00,86954.350000,87320.840000,86790.130000,87237.430000,3211
2025.12.16 10:00,86325.480000,87313.980000,86243.210000,86949.030000,4619
2025.12.16 09:00,86255.690000,86408.200000,86164.870000,86323.320000,2184
2025.12.16 08:00,85996.480000,86368.740000,85894.150000,86259.170000,2736
2025.12.16 07:00,86481.230000,86602.450000,85834.290000,85995.500000,3211
2025.12.16 06:00,86009.610000,86597.600000,86009.610000,86482.490000,1972
2025.12.16 05:00,85810.350000,86198.490000,85771.980000,86005.000000,2734
2025.12.16 04:00,85851.040000,85908.350000,85244.810000,85820.510000,3283
2025.12.16 03:00,85914.430000,85995.450000,85356.420000,85851.870000,3660
2025.12.16 02:00,85869.170000,86207.280000,85780.070000,85910.500000,3476
2025.12.16 01:00,85847.790000,86152.510000,85646.270000,85869.640000,4282
2025.12.16 00:00,86416.470000,86501.450000,85815.570000,85848.120000,3088
2025.12.15 23:00,86245.860000,86451.950000,86088.750000,86406.540000,2761
2025.12.15 22:00,86207.290000,86251.640000,85794.230000,86244.640000,2447
2025.12.15 21:00,85765.280000,86291.270000,85494.300000,86203.350000,3760
2025.12.15 20:00,86132.140000,86183.460000,85592.400000,85760.210000,6209
2025.12.15 19:00,86168.920000,86554.720000,85847.170000,86133.830000,7435
2025.12.15 18:00,85750.810000,86277.850000,85095.970000,86171.010000,8071
2025.12.15 17:00,86368.070000,86487.080000,85569.340000,85752.810000,7993
2025.12.15 16:00,87034.560000,87217.050000,86015.780000,86370.810000,11018
2025.12.15 15:00,88029.550000,88183.630000,86600.430000,87031.770000,18171
2025.12.15 14:00,89423.080000,89880.630000,87832.230000,88033.750000,10295
2025.12.15 13:00,89698.230000,89747.400000,89263.330000,89422.960000,2591
2025.12.15 12:00,89652.330000,89770.310000,89421.560000,89695.770000,2268
2025.12.15 11:00,89868.850000,89911.080000,89573.420000,89652.470000,1617
2025.12.15 10:00,89861.940000,89990.900000,89692.800000,89869.440000,2483
2025.12.15 09:00,89770.230000,89990.730000,89770.230000,89861.140000,2107
2025.12.15 08:00,89746.650000,89903.970000,89642.860000,89769.840000,2007
2025.12.15 07:00,89752.950000,89839.270000,89515.540000,89743.180000,2358
2025.12.15 06:00,89619.120000,89923.240000,89469.540000,89747.650000,2059
